pointDisplayName,dateTime,unit,point_id,dateTimeUtc,pointName,pointKind,deviceName,value,pointField
Discharge Air Flow,03/31/2026 00:01:04,cfm,673ce924ffc77731fa3ed999,03/31/2026 05:01:04,AirFl,Number,FPB-01-018_354,1128.0889892578125,discharge_air_flowrate_sensor
Discharge Air Flow,03/31/2026 00:01:34,cfm,673ce924ffc77731fa3ed999,03/31/2026 05:01:34,AirFl,Number,FPB-01-018_354,1120.63671875,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:01:34,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:01:34,RmCO2,Number,FPB-01-018_354,412,zone_air_co2_concentration_sensor
Zone CO2,03/31/2026 00:02:04,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:02:04,RmCO2,Number,FPB-01-018_354,413,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:02:34,cfm,673ce924ffc77731fa3ed999,03/31/2026 05:02:34,AirFl,Number,FPB-01-018_354,1126.747314453125,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:02:34,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:02:34,RmCO2,Number,FPB-01-018_354,409,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:03:04,cfm,673ce924ffc77731fa3ed999,03/31/2026 05:03:04,AirFl,Number,FPB-01-018_354,1140.2501220703125,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:03:04,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:03:04,RmCO2,Number,FPB-01-018_354,412,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:04:04,cfm,673ce924ffc77731fa3ed999,03/31/2026 05:04:04,AirFl,Number,FPB-01-018_354,1128.2877197265625,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:04:04,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:04:04,RmCO2,Number,FPB-01-018_354,411,zone_air_co2_concentration_sensor
Zone CO2,03/31/2026 00:05:04,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:05:04,RmCO2,Number,FPB-01-018_354,413,zone_air_co2_concentration_sensor
Zone CO2,03/31/2026 00:06:04,ppm,673ce924ffc77731fa3ed9a5,03/31/2026 05:06:04,RmCO2,Number,FPB-01-018_354,412,zone_air_co2_concentration_sensor
