Slicer filters: Date Time Local 2026-01-29 00:00:00 to 2026-02-03 23:59:59
Widget filters: building_id Equals [63373e96e6135b54a735ab8f]
START_OF_DAY(date_time_local),working-hours,Daily kWh
2026-01-29T00:00:00,Unoccupied Hours,994.7664731131889
2026-01-29T00:00:00,Working Hours,744.8967377168789
2026-01-30T00:00:00,Working Hours,704.791858584145
2026-01-30T00:00:00,Unoccupied Hours,997.830648457733
2026-01-31T00:00:00,Weekend,1532.9923858776015
2026-02-01T00:00:00,Weekend,1542.521249488419
2026-02-02T00:00:00,Working Hours,742.7218754764323
2026-02-02T00:00:00,Unoccupied Hours,971.3259407233344
2026-02-03T00:00:00,Unoccupied Hours,544.5703908037024
2026-02-03T00:00:00,Working Hours,433.95116383693653
