Slicer filters: Date Time Local 2026-01-29 00:00:00 to 2026-02-03 23:59:59
Widget filters: building_id Equals [63373e96e6135b54a735ab8f]
HOUR(date_time_local),START_OF_DAY(date_time_local),Sum of kwh_from_avg_power
0,2026-01-29T00:00:00,49.60697078078109
0,2026-01-30T00:00:00,45.00438702723386
0,2026-01-31T00:00:00,52.776312247695294
0,2026-02-01T00:00:00,51.853848615198544
0,2026-02-02T00:00:00,43.528208008438774
0,2026-02-03T00:00:00,46.08751649350251
1,2026-01-29T00:00:00,44.87106229670998
1,2026-01-30T00:00:00,50.69067079173888
1,2026-01-31T00:00:00,46.95541876777888
1,2026-02-01T00:00:00,45.22821603098791
1,2026-02-02T00:00:00,48.50274095259171
1,2026-02-03T00:00:00,47.02193411377593
2,2026-01-29T00:00:00,51.68174688830562
2,2026-01-30T00:00:00,46.91434717636166
2,2026-01-31T00:00:00,45.258748365277015
2,2026-02-01T00:00:00,44.29542043264408
2,2026-02-02T00:00:00,43.71192673148545
2,2026-02-03T00:00:00,50.768116511677995
3,2026-01-29T00:00:00,52.926252007078624
3,2026-01-30T00:00:00,58.17858931965522
3,2026-01-31T00:00:00,51.1280975696706
3,2026-02-01T00:00:00,51.665155948971744
3,2026-02-02T00:00:00,48.66151595923577
3,2026-02-03T00:00:00,47.54629869644679
4,2026-01-29T00:00:00,51.861539556021455
4,2026-01-30T00:00:00,53.494336229604485
4,2026-01-31T00:00:00,51.94757002613892
4,2026-02-01T00:00:00,49.971338952538964
4,2026-02-02T00:00:00,53.68050429993045
4,2026-02-03T00:00:00,55.751902216909116
5,2026-01-29T00:00:00,84.03676713288976
5,2026-01-30T00:00:00,72.48961739823743
5,2026-01-31T00:00:00,85.2485000583662
5,2026-02-01T00:00:00,88.12874051076476
5,2026-02-02T00:00:00,87.36842229564394
5,2026-02-03T00:00:00,85.56106955089923
6,2026-01-29T00:00:00,65.21616415440218
6,2026-01-30T00:00:00,67.54626176363324
6,2026-01-31T00:00:00,73.05969830372852
6,2026-02-01T00:00:00,64.07083821139436
6,2026-02-02T00:00:00,66.16916065060241
6,2026-02-03T00:00:00,69.12204455757184
7,2026-01-29T00:00:00,69.09859453397786
7,2026-01-30T00:00:00,83.94519758808411
7,2026-01-31T00:00:00,65.62806009852302
7,2026-02-01T00:00:00,61.37669804960706
7,2026-02-02T00:00:00,63.417108817940544
7,2026-02-03T00:00:00,66.33284245667494
8,2026-01-29T00:00:00,79.5126610363579
8,2026-01-30T00:00:00,78.52237770015643
8,2026-01-31T00:00:00,63.315183158931596
8,2026-02-01T00:00:00,66.92969797816643
8,2026-02-02T00:00:00,76.47177370293551
8,2026-02-03T00:00:00,76.37866620624403
9,2026-01-29T00:00:00,75.69671204053449
9,2026-01-30T00:00:00,77.75195585592205
9,2026-01-31T00:00:00,62.345368628065955
9,2026-02-01T00:00:00,59.51417182795163
9,2026-02-02T00:00:00,73.24336207722077
9,2026-02-03T00:00:00,85.48468504143028
10,2026-01-29T00:00:00,87.79909768594848
10,2026-01-30T00:00:00,83.92077301945112
10,2026-01-31T00:00:00,62.200995897324034
10,2026-02-01T00:00:00,69.40022448932756
10,2026-02-02T00:00:00,71.70800174625788
10,2026-02-03T00:00:00,83.83524195995253
11,2026-01-29T00:00:00,81.34687666895724
11,2026-01-30T00:00:00,80.33342501147789
11,2026-01-31T00:00:00,65.38439532916797
11,2026-02-01T00:00:00,62.40400401636619
11,2026-02-02T00:00:00,88.89893904090962
11,2026-02-03T00:00:00,95.03669387702917
12,2026-01-29T00:00:00,86.81489596276657
12,2026-01-30T00:00:00,79.98649798757314
12,2026-01-31T00:00:00,59.22030902391359
12,2026-02-01T00:00:00,65.04178388388279
12,2026-02-02T00:00:00,81.38679518228622
12,2026-02-03T00:00:00,82.23703817646239
13,2026-01-29T00:00:00,82.40185681469626
13,2026-01-30T00:00:00,76.81014680612245
13,2026-01-31T00:00:00,74.4375822756567
13,2026-02-01T00:00:00,63.4926898782735
13,2026-02-02T00:00:00,81.60877925788884
13,2026-02-03T00:00:00,87.40000803110793
14,2026-01-29T00:00:00,81.39744055193263
14,2026-01-30T00:00:00,71.98239132502152
14,2026-01-31T00:00:00,73.04864943172049
14,2026-02-01T00:00:00,80.34834675128647
14,2026-02-02T00:00:00,92.8210736325963
15,2026-01-29T00:00:00,81.53937435331639
15,2026-01-30T00:00:00,83.07265692178646
15,2026-01-31T00:00:00,63.58206589768758
15,2026-02-01T00:00:00,71.25485567755052
15,2026-02-02T00:00:00,78.58894597812156
16,2026-01-29T00:00:00,79.28598359004573
16,2026-01-30T00:00:00,74.26497937567996
16,2026-01-31T00:00:00,65.49017117272733
16,2026-02-01T00:00:00,62.70152579146577
16,2026-02-02T00:00:00,95.49011633983042
17,2026-01-29T00:00:00,88.61450004868114
17,2026-01-30T00:00:00,76.66903228111025
17,2026-01-31T00:00:00,71.01760808083723
17,2026-02-01T00:00:00,73.77204976845601
17,2026-02-02T00:00:00,78.97586222132065
18,2026-01-29T00:00:00,84.47266050839241
18,2026-01-30T00:00:00,82.98010320842559
18,2026-01-31T00:00:00,70.0383014899916
18,2026-02-01T00:00:00,86.06054055932138
18,2026-02-02T00:00:00,77.65858107685446
19,2026-01-29T00:00:00,82.23725538726745
19,2026-01-30T00:00:00,83.39280049701773
19,2026-01-31T00:00:00,73.54677018278157
19,2026-02-01T00:00:00,71.67500608441586
19,2026-02-02T00:00:00,73.15228403579586
20,2026-01-29T00:00:00,78.68758847984972
20,2026-01-30T00:00:00,77.95079051918644
20,2026-01-31T00:00:00,75.81115638895119
20,2026-02-01T00:00:00,73.61944442141319
20,2026-02-02T00:00:00,76.0224395475656
21,2026-01-29T00:00:00,81.06936339702737
21,2026-01-30T00:00:00,75.39764460616591
21,2026-01-31T00:00:00,65.84513446432629
21,2026-02-01T00:00:00,68.66782058833901
21,2026-02-02T00:00:00,80.96888771298411
22,2026-01-29T00:00:00,72.74367707369782
22,2026-01-30T00:00:00,69.74947894176555
22,2026-01-31T00:00:00,69.32864519054012
22,2026-02-01T00:00:00,66.80621157555095
22,2026-02-02T00:00:00,83.16548753978748
23,2026-01-29T00:00:00,46.744169880429595
23,2026-01-30T00:00:00,51.57404569046654
23,2026-01-31T00:00:00,46.37764382779964
23,2026-02-01T00:00:00,44.24261944454412
23,2026-02-02T00:00:00,48.84689939154221
